listeners,mbid,name,playcount,streamable,url,tags
5441558,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,365209713,0,https://www.last.fm/music/Coldplay,"rock, alternative, britpop"
4790821,a74b1b7f-71a5-4011-9441-d0b5e4122711,Radiohead,509971179,0,https://www.last.fm/music/Radiohead,"alternative, alternative rock, rock"
4676934,8bfac288-ccc5-448d-9573-c33ea2aa5c30,Red Hot Chili Peppers,299229292,0,https://www.last.fm/music/Red+Hot+Chili+Peppers,"rock, alternative rock, alternative"
4633952,db36a76f-4cdf-43ac-8cd0-5e48092d2bae,Rihanna,205456052,0,https://www.last.fm/music/Rihanna,"pop, rnb, female vocalists"
4581844,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,205315845,0,https://www.last.fm/music/Eminem,"rap, Hip-Hop, Eminem"
4482665,95e1ead9-4d31-4808-a7ac-32c3614c116b,The Killers,213093577,0,https://www.last.fm/music/The+Killers,"indie, rock, indie rock"
4465020,164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,254807007,0,https://www.last.fm/music/Kanye+West,"Hip-Hop, rap, hip hop"
4332259,9282c8b4-ca0b-4c6b-b7e3-4f7762dfc4d6,Nirvana,227127825,0,https://www.last.fm/music/Nirvana,"Grunge, rock, alternative"
4132003,fd857293-5ab8-40de-b29e-55a69d4e4d0f,Muse,350555042,0,https://www.last.fm/music/Muse,"alternative rock, rock, alternative"
4098957,420ca290-76c5-41af-999e-564d7c71f1a7,Queen,199409544,0,https://www.last.fm/music/Queen,"classic rock, rock, 80s"
4047036,67f66c07-6e61-4026-ade5-7e782fad3a5d,Foo Fighters,197645823,0,https://www.last.fm/music/Foo+Fighters,"rock, alternative rock, Grunge"
4029241,f59c5520-5f46-4d2c-b2c4-822eabf53419,Linkin Park,300767077,0,https://www.last.fm/music/Linkin+Park,"rock, Nu Metal, alternative rock"
3889677,650e7db6-b795-4eb5-a702-5ea2fc46c848,Lady Gaga,293795312,0,https://www.last.fm/music/Lady+Gaga,"pop, dance, electronic"
3852481,b071f9fa-14b0-4217-8e97-eb41da73f598,The Rolling Stones,157822222,0,https://www.last.fm/music/The+Rolling+Stones,"classic rock, rock, british"
3835552,056e4f3e-d505-4dad-8ec1-d04f521cbb56,Daft Punk,213099884,0,https://www.last.fm/music/Daft+Punk,"electronic, dance, House"
3813363,122d63fc-8671-43e4-9752-34e846d62a9c,Katy Perry,153465000,0,https://www.last.fm/music/Katy+Perry,"pop, female vocalists, pop rock"
3798396,084308bd-1654-436f-ba03-df6697104e19,Green Day,192520632,0,https://www.last.fm/music/Green+Day,"punk rock, rock, punk"
3747277,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,530351668,0,https://www.last.fm/music/The+Beatles,"classic rock, rock, british"
3644464,859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,167106508,0,https://www.last.fm/music/Beyonc%C3%A9,"rnb, pop, female vocalists"
3643049,ecf9f3a3-35e9-4c58-acaa-e707fba45060,Oasis,153790351,0,https://www.last.fm/music/Oasis,"britpop, rock, british"
3633280,e21857d5-3256-4547-afb3-4b6ded592596,Gorillaz,174308312,0,https://www.last.fm/music/Gorillaz,"alternative, electronic, Hip-Hop"
3605394,f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,134065773,0,https://www.last.fm/music/Michael+Jackson,"pop, 80s, dance"
3568663,0ab49580-c84f-44d4-875f-d83760ea2cfe,Maroon 5,120649779,0,https://www.last.fm/music/Maroon+5,"rock, pop, pop rock"
3562520,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,Arctic Monkeys,341268224,0,https://www.last.fm/music/Arctic+Monkeys,"indie rock, indie, british"
3538007,cc0b7089-c08d-4c10-b6b0-873582c17fd6,System of a Down,230409978,0,https://www.last.fm/music/System+of+a+Down,"metal, alternative metal, rock"
3525574,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,U2,144988009,0,https://www.last.fm/music/U2,"rock, classic rock, irish"
3474562,6ffb8ea9-2370-44d8-b678-e9237bbd347b,Kings of Leon,171510441,0,https://www.last.fm/music/Kings+of+Leon,"rock, indie, indie rock"
3456623,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,Drake,150010975,0,https://www.last.fm/music/Drake,"Hip-Hop, rap, rnb"
3413151,5441c29d-3602-4898-b1a1-b77fa23b8e50,David Bowie,198814660,0,https://www.last.fm/music/David+Bowie,"rock, glam rock, classic rock"
3395223,d5be5333-4171-427e-8e12-732087c6b78e,Black Eyed Peas,72177543,0,https://www.last.fm/music/Black+Eyed+Peas,"Hip-Hop, pop, rnb"
3312820,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Britney Spears,206684128,0,https://www.last.fm/music/Britney+Spears,"pop, dance, female vocalists"
3306244,f181961b-20f7-459e-89de-920ef03c7ed0,The Strokes,172911398,0,https://www.last.fm/music/The+Strokes,"indie rock, rock, indie"
3286797,eeb1195b-f213-4ce1-b28c-8565211f8e43,Guns N' Roses,118269924,0,https://www.last.fm/music/Guns+N%27+Roses,"hard rock, rock, classic rock"
3283477,,Lil' Wayne,79054298,0,https://www.last.fm/music/Lil%27+Wayne,"rap, Hip-Hop, Dirty South"
3234229,aa7a2827-f74b-473c-bd79-03d065835cf7,Franz Ferdinand,114587582,0,https://www.last.fm/music/Franz+Ferdinand,"indie, indie rock, rock"
3230914,9efff43b-3b29-4082-824e-bc82f646f93d,The Doors,136098856,0,https://www.last.fm/music/The+Doors,"classic rock, Psychedelic Rock, rock"
3168758,79239441-bfd5-4981-a70c-55c3f15c1287,Madonna,162395597,0,https://www.last.fm/music/Madonna,"pop, dance, female vocalists"
